chr	TSS	Strand	Gene_symbol
chr5	176739292	-	MXD3
chr4	2263739	-	MXD4
chr10	111967362	+	MXI1
chrX	3264684	-	MXRA5
chr17	74707056	-	MXRA7
chr1	1298921	-	MXRA8
chr19	54368837	+	MYADM
chr2	33953284	-	MYADML
chr17	79905109	-	MYADML2
chr6	135502452	+	MYB
chr17	4458681	-	MYBBP1A
chr8	67525484	-	MYBL1
chr20	42295658	+	MYBL2
chr12	101988708	+	MYBPC1
chr19	50936159	+	MYBPC2
chr11	47374253	-	MYBPC3
chr1	203144942	-	MYBPH
chr1	109849663	-	MYBPHL
chr8	128748314	+	MYC
chr1	39339050	-	MYCBP
chr13	77901177	-	MYCBP2
chr13	77649648	+	MYCBP2-AS1
chr17	48585744	+	MYCBPAP
chr1	40367687	-	MYCL
chr2	16080559	+	MYCN
chr2	16081845	-	MYCNOS
chr2	16060520	+	MYCNUT
chr6	153019029	+	MYCT1
chr3	38179968	+	MYD88
chr15	48470558	-	MYEF2
chr11	69061604	+	MYEOV
chr2	241075764	-	MYEOV2
chr12	81110707	+	MYF5
chr12	81101407	+	MYF6
chr17	10421859	-	MYH1
chr17	8534079	-	MYH10
chr16	15950887	-	MYH11
chr17	10276322	-	MYH13
chr19	50706884	+	MYH14
chr3	108248169	-	MYH15
chr7	98870923	+	MYH16
chr17	10453017	-	MYH2
chr17	10560626	-	MYH3
chr17	10372876	-	MYH4
chr14	23877486	-	MYH6
chr14	23904895	-	MYH7
chr20	33543637	+	MYH7B
chr17	10325267	-	MYH8
chr22	36784112	-	MYH9
chr17	10286448	+	MYHAS
chr2	211179895	-	MYL1
chr7	101272576	-	MYL10
chr18	3247527	+	MYL12A
chr18	3262110	+	MYL12B
chr12	111358404	-	MYL2
chr3	46904973	-	MYL3
chr17	45286427	+	MYL4
chr4	671710	+	MYL5
chr12	56552044	+	MYL6
chr12	56546203	+	MYL6B
chr7	44180916	-	MYL7
chr20	35169886	+	MYL9
chr6	16129316	+	MYLIP
chr3	123603149	-	MYLK
chr3	123304359	+	MYLK-AS1
chr3	123408490	+	MYLK-AS2
chr20	30407177	+	MYLK2
chr16	46782221	-	MYLK3
chr6	2751154	-	MYLK4
chr16	30386122	+	MYLPF
chr3	169490852	+	MYNN
chr5	16936385	-	MYO10
chr17	18012019	+	MYO15A
chr17	73584138	+	MYO15B
chr13	109248499	+	MYO16
chr13	109819651	-	MYO16-AS1
chr17	27507407	-	MYO18A
chr22	26138119	+	MYO18B
chr17	34891305	-	MYO19
chr12	57444549	-	MYO1A
chr2	192110106	+	MYO1B
chr17	1396001	-	MYO1C
chr17	31203902	-	MYO1D
chr15	59665071	-	MYO1E
chr19	8642331	-	MYO1F
chr7	45018704	-	MYO1G
chr12	109826523	+	MYO1H
chr10	26223001	+	MYO3A
chr2	171034654	+	MYO3B
chr15	52821247	-	MYO5A
chr18	47721451	-	MYO5B
chr15	52587995	-	MYO5C
chr6	76458892	+	MYO6
chr11	76839309	+	MYO7A
chr2	128293377	+	MYO7B
chr15	72410440	-	MYO9A
chr19	17186590	+	MYO9B
chr1	171621773	-	MYOC
chr17	12569206	+	MYOCD
chr11	17741109	+	MYOD1
chr10	95242074	-	MYOF
chr1	203055166	-	MYOG
chr18	3220106	-	MYOM1
chr8	1993157	+	MYOM2
chr1	24438665	-	MYOM3
chr5	137203544	+	MYOT
chr10	75401515	-	MYOZ1
chr4	120056938	+	MYOZ2
chr5	150040402	+	MYOZ3
chr10	69865873	+	MYPN
chr19	46405862	-	MYPOP
chr11	61520120	+	MYRF
chr3	39850404	+	MYRIP
chr1	59165747	-	MYSM1
chr20	62795826	+	MYT1
chr2	2335045	-	MYT1L
chr2	2323003	+	MYT1L-AS1
chr15	57884101	+	MYZAP
chr5	138725605	-	MZB1
chr19	59084942	-	MZF1
chr19	59070552	+	MZF1-AS1
chr13	73301938	-	MZT1
chr2	132250064	-	MZT2A
chr2	130939500	+	MZT2B
chr16	48644120	-	N4BP1
chr4	40058523	+	N4BP2
chr13	33002315	-	N4BP2L1
chr13	33113022	-	N4BP2L2
chr13	33083532	-	N4BP2L2-IT2
chr5	177540555	+	N4BP3
chr21	30257695	-	N6AMT1
chr13	21348057	-	N6AMT2
chrX	153200607	-	NAA10
chr4	80247171	-	NAA11
chr4	140222675	+	NAA15
chr13	41885340	+	NAA16
chr20	19997933	+	NAA20
chr12	112546635	-	NAA25
chr14	57857270	+	NAA30
chr9	88556056	+	NAA35
chr17	7761172	-	NAA38
chr11	63706441	+	NAA40
chr3	113465120	-	NAA50
chr16	3493667	+	NAA60
chr4	76862166	-	NAAA
chr11	89867817	+	NAALAD2
chr11	64826009	-	NAALADL1
chr3	174577110	+	NAALADL2
chr3	175494121	-	NAALADL2-AS1
chr3	174988885	-	NAALADL2-AS2
chr3	174833032	-	NAALADL2-AS3
chr2	191513847	+	NAB1
chr12	57482676	+	NAB2
chr2	192542797	+	NABP1
chr12	56618124	+	NABP2
chr12	57119326	-	NACA
chr17	59668563	-	NACA2
chr7	45128493	-	NACAD
chr8	102381120	+	NACAP1
chr19	13229101	+	NACC1
chr9	138987131	-	NACC2
chr1	1711508	-	NADK
chr5	36242381	-	NADK2
chr11	71164216	+	NADSYN1
chr16	66864879	-	NAE1
chr4	164088073	-	NAF1
chr22	42466846	-	NAGA
chr2	71295407	+	NAGK
chr17	40687950	+	NAGLU
chr16	5083942	-	NAGPA
chr16	5083702	+	NAGPA-AS1
chr17	42082031	+	NAGS
chr9	130829599	-	NAIF1
chr5	70320941	-	NAIP
chr13	102068813	-	NALCN
chr13	101360578	+	NALCN-AS1
chr9	102137539	-	NAMA
chr7	105925638	-	NAMPT
chr12	7941991	+	NANOG
chr12	7917811	+	NANOGNB
chr10	120789227	+	NANOS1
chr19	46418036	-	NANOS2
chr19	13988062	+	NANOS3
chr20	25604648	-	NANP
chr9	100818958	+	NANS
chr12	76478738	-	NAP1L1
chrX	72434710	-	NAP1L2
chrX	92928682	-	NAP1L3
chr11	3013607	-	NAP1L4
chr4	89619023	-	NAP1L5
chrX	72347919	-	NAP1L6
chr19	48018515	-	NAPA
chr19	47987538	+	NAPA-AS1
chr20	23402156	-	NAPB
chr7	102789569	-	NAPEPLD
chr18	10525872	+	NAPG
chr8	144660521	-	NAPRT
chr19	50868931	-	NAPSA
chr19	50848005	-	NAPSB
chr17	80416059	+	NARF
chr16	790997	-	NARFL
chr17	27044908	-	NARR
chr18	55289177	-	NARS
chr11	78285909	-	NARS2
chr1	46049659	+	NASP
chr8	18027970	+	NAT1
chr11	34127110	+	NAT10
chr19	55996556	+	NAT14
chr7	100823557	-	NAT16
chr8	18248754	+	NAT2
chr3	50336852	-	NAT6
chr2	73869537	-	NAT8
chr2	73928467	-	NAT8B
chr4	2061238	+	NAT8L
chr17	72772470	-	NAT9
chr17	21156578	-	NATD1
chr1	201617449	+	NAV1
chr11	19372270	+	NAV2
chr11	20070849	-	NAV2-AS2
chr11	19545625	-	NAV2-AS4
chr11	19528776	-	NAV2-AS5
chr12	78225068	+	NAV3
chr2	15701472	-	NBAS
chr13	35516423	+	NBEA
chr2	203879601	+	NBEAL1
chr3	47021172	+	NBEAL2
chr15	20961480	-	NBEAP1
chr1	19969722	+	NBL1
chr8	90996899	-	NBN
chr1	16940100	-	NBPF1
chr1	145293370	+	NBPF10
chr1	147624469	-	NBPF11
chr1	146373856	+	NBPF12
chr1	146585928	-	NBPF13P
chr1	148346756	-	NBPF14
chr1	148558187	+	NBPF15
chr1	151990753	+	NBPF18P
chr1	144146810	+	NBPF20
chr5	85578261	+	NBPF22P
chr1	149109725	-	NBPF25P
chr1	21766582	+	NBPF3
chr1	108786703	-	NBPF4
chr1	108992903	+	NBPF6
chr1	120387503	-	NBPF7
chr1	148346929	-	NBPF8
chr1	144614958	+	NBPF9
chr17	41322487	+	NBR1
chr17	41277599	+	NBR2
chr8	103137135	-	NCALD
chr11	112831968	+	NCAM1
chr11	113144623	-	NCAM1-AS1
chr21	22370632	+	NCAM2
chr19	19322781	+	NCAN
chr12	6603297	+	NCAPD2
chr11	134094426	-	NCAPD3
chr4	17812435	+	NCAPG
chr7	158497522	-	NCAPG2
chr2	97001478	+	NCAPH
chr22	50946644	+	NCAPH2
chr9	100395704	+	NCBP1
chr3	196669464	-	NCBP2
chr3	196669493	+	NCBP2-AS2
chr19	39687603	+	NCCRP1
chr1	36023392	+	NCDN
chr3	172429008	-	NCEH1
chr7	74188308	+	NCF1
chr7	72634673	+	NCF1B
chr7	74587802	-	NCF1C
chr1	183560056	-	NCF2
chr22	37257029	+	NCF4
chr3	136581049	+	NCK1
chr3	136580905	-	NCK1-AS1
chr2	106361519	+	NCK2
chr2	183903586	-	NCKAP1
chr12	54891494	+	NCKAP1L
chr2	134326031	-	NCKAP5
chr12	50222208	-	NCKAP5L
chr3	48723366	-	NCKIPSD
chr2	232329205	-	NCL
chr19	3185874	+	NCLN
chr1	24882566	+	NCMAP
chr2	24807345	+	NCOA1
chr8	71316020	-	NCOA2
chr20	46130600	+	NCOA3
chr10	51565107	+	NCOA4
chr20	44718580	-	NCOA5
chr20	33413433	-	NCOA6
chr6	126102306	+	NCOA7
chr17	16118874	-	NCOR1
chr20	26094677	-	NCOR1P1
chr12	125052010	-	NCOR2
chr19	55417507	+	NCR1
chr6	41303527	+	NCR2
chr6	31560762	-	NCR3
chr11	17373308	+	NCR3LG1
chr8	135850311	+	NCRNA00250
chr5	76008227	+	NCRUPAR
chr9	132934856	+	NCS1
chr1	160313062	+	NCSTN
chr1	54304225	-	NDC1
chr18	2571509	+	NDC80
chr16	15737123	+	NDE1
chr17	8339169	+	NDEL1
chr5	141488323	+	NDFIP1
chr13	80055258	+	NDFIP2
chr13	80055366	-	NDFIP2-AS1
chr15	23932450	-	NDN
chr4	121993673	-	NDNF
chr15	29562020	-	NDNL2
chr9	140100118	+	NDOR1
chrX	43832921	-	NDP
chr8	134309547	-	NDRG1
chr14	21539031	-	NDRG2
chr20	35374541	-	NDRG3
chr16	58497548	+	NDRG4
chr5	149877339	+	NDST1
chr10	75571589	-	NDST2
chr4	118955499	+	NDST3
chr4	116035032	-	NDST4
chrX	119005733	+	NDUFA1
chr2	240964819	-	NDUFA10
chr19	5904024	-	NDUFA11
chr12	95397489	-	NDUFA12
chr19	19627018	+	NDUFA13
chr5	140027370	-	NDUFA2
chr19	54606159	+	NDUFA3
chr7	10979813	-	NDUFA4
chr12	57634475	-	NDUFA4L2
chr7	123241705	-	NDUFA5
chr22	42486888	-	NDUFA6
chr22	42486936	+	NDUFA6-AS1
chr19	8386280	-	NDUFA7
chr9	124922098	-	NDUFA8
chr12	4758263	+	NDUFA9
chr16	23607639	-	NDUFAB1
chr15	41694658	-	NDUFAF1
chr5	60240955	+	NDUFAF2
chr3	49057907	+	NDUFAF3
chr6	97345767	-	NDUFAF4
chr15	49448494	+	NDUFAF4P1
chr20	13765671	+	NDUFAF5
chr8	96037213	+	NDUFAF6
chr2	37458773	+	NDUFAF7
chr14	92588153	-	NDUFB1
chr16	2009516	+	NDUFB10
chrX	47004609	-	NDUFB11
chr7	140396480	+	NDUFB2
chr7	140396877	-	NDUFB2-AS1
chr2	201936461	+	NDUFB3
chr3	120315127	+	NDUFB4
chr3	179322574	+	NDUFB5
chr9	32573182	-	NDUFB6
chr19	14682889	-	NDUFB7
chr10	102289680	-	NDUFB8
chr8	125551342	+	NDUFB9
chr4	140223705	-	NDUFC1
chr11	77791265	-	NDUFC2
chr11	77791265	-	NDUFC2-KCTD14
chr2	207024243	-	NDUFS1
chr1	161169104	+	NDUFS2
chr11	47600561	+	NDUFS3
chr5	52856464	+	NDUFS4
chr1	39491966	+	NDUFS5
chr5	1801495	+	NDUFS6
chr19	1383882	+	NDUFS7
chr11	67798083	+	NDUFS8
chr11	67374322	+	NDUFV1
chr18	9102627	+	NDUFV2
chr18	9136718	-	NDUFV2-AS1
chr21	44313377	+	NDUFV3
chr11	65190268	+	NEAT1
chr2	152591001	-	NEB
chr10	21463116	-	NEBL
chr10	21462918	+	NEBL-AS1
chr8	91803920	+	NECAB1
chr16	84002236	+	NECAB2
chr20	32262264	-	NECAB3
chr12	8234806	+	NECAP1
chr1	16767166	+	NECAP2
chr12	97301000	+	NEDD1
chr15	56285944	-	NEDD4
chr18	55711609	+	NEDD4L
chr14	24701576	-	NEDD8
chr14	24701576	-	NEDD8-MDP1
chr6	11382581	-	NEDD9
chr22	29876180	+	NEFH
chr8	24814383	-	NEFL
chr8	24771273	+	NEFM
chr1	72748277	-	NEGR1
chr1	72302695	-	NEGR1-IT1
chr15	75639330	+	NEIL1
chr8	11627171	+	NEIL2
chr4	178230990	+	NEIL3
chr4	170533778	-	NEK1
chr3	27410912	-	NEK10
chr3	130745693	+	NEK11
chr1	211848972	-	NEK2
chr13	52733996	-	NEK3
chr3	52804965	-	NEK4
chr13	52703214	-	NEK5
chr9	127019884	+	NEK6
chr1	198126107	+	NEK7
chr17	27055831	+	NEK8
chr14	75593778	-	NEK9
chr4	2010962	-	NELFA
chr9	140149758	+	NELFB
chr20	57556262	+	NELFCD
chr6	31926864	-	NELFE
chr11	20691096	+	NELL1
chr12	45307711	-	NELL2
chr14	50319791	-	NEMF
chr1	212606228	+	NENF
chr15	73344824	+	NEO1
chr1	156647189	-	NES
chr10	5454513	+	NET1
chr18	70534810	-	NETO1
chr16	47177936	-	NETO2
chr6	31830709	-	NEU1
chr2	233897381	+	NEU2
chr11	74699949	+	NEU3
chr2	242750159	+	NEU4
chr10	105253734	+	NEURL1
chr10	105277199	-	NEURL1-AS1
chr5	172068275	+	NEURL1B
chr20	44519926	-	NEURL2
chr2	97173846	-	NEURL3
chr17	7232638	-	NEURL4
chr2	182545392	-	NEUROD1
chr17	37764175	-	NEUROD2
chr12	55413728	+	NEUROD4
chr7	31380538	-	NEUROD6
chr5	134871639	-	NEUROG1
chr4	113437328	-	NEUROG2
chr10	71333210	-	NEUROG3
chr1	78354199	+	NEXN
chr1	78355224	-	NEXN-AS1
chr17	29421944	+	NF1
chr15	22145802	-	NF1P2
chr22	29999544	+	NF2
chr22	42828401	-	NFAM1
chr1	204797781	+	NFASC
chr16	69599868	+	NFAT5
chr18	77155771	+	NFATC1
chr20	50179370	-	NFATC2
chr16	28962317	+	NFATC2IP
chr16	68119268	+	NFATC3
chr14	24836116	+	NFATC4
chr12	54694821	-	NFE2
chr17	46125685	+	NFE2L1
chr2	178129859	-	NFE2L2
chr7	26191846	+	NFE2L3
chr1	61542945	+	NFIA
chr1	61719190	-	NFIA-AS1
chr1	61436448	-	NFIA-AS2
chr9	14398982	-	NFIB
chr19	3359560	+	NFIC
chr9	94186908	-	NFIL3
chr19	13106583	+	NFIX
chr4	103422485	+	NFKB1
chr10	104153866	+	NFKB2
chr14	35873960	-	NFKBIA
chr19	39390339	+	NFKBIB
chr19	36391552	-	NFKBID
chr6	44233525	-	NFKBIE
chr6	31514627	+	NFKBIL1
chr3	101546833	+	NFKBIZ
chr11	129765490	-	NFRKB
chr20	34287287	-	NFS1
chr2	69664760	-	NFU1
chr9	33290417	+	NFX1
chr4	47916684	-	NFXL1
chr6	41040706	+	NFYA
chr12	104532040	-	NFYB
chr1	41157241	+	NFYC
chr1	41157933	-	NFYC-AS1
chr14	77737655	-	NGB
chr14	23938897	+	NGDN
chr2	233877951	-	NGEF
chr1	115880857	-	NGF
chr17	47572654	+	NGFR
chrX	102631250	+	NGFRAP1
chr3	25831530	-	NGLY1
chr15	90808894	+	NGRN
chr6	137314368	-	NHEG1
chr2	220025587	-	NHEJ1
chr1	160336860	+	NHLH1
chr1	116383747	-	NHLH2
chr6	18122851	-	NHLRC1
chr10	115614390	+	NHLRC2
chr13	39612447	+	NHLRC3
chr16	616994	+	NHLRC4
chr5	177580961	-	NHP2
chr22	42084913	-	NHP2L1
chrX	17393542	+	NHS
chrX	17577248	-	NHS-AS1
chr6	138893668	-	NHSL1
chrX	71130937	+	NHSL2
chr3	49466757	-	NICN1
chr1	236228481	-	NID1
chr14	52535946	-	NID2
chr2	201754049	+	NIF3L1
chr2	122494503	-	NIFK
chr2	122407229	+	NIFK-AS1
chr5	43192169	+	NIM1K
chr14	51297839	-	NIN
chr9	95896570	-	NINJ1
chr12	772907	-	NINJ2
chr20	25566153	-	NINL
chr16	69373414	+	NIP7
chr15	23086843	-	NIPA1
chr15	23034427	-	NIPA2
chr4	48018790	+	NIPAL1
chr8	99306621	-	NIPAL2
chr1	24742244	+	NIPAL3
chr5	156887026	+	NIPAL4
chr5	36876860	+	NIPBL
chr5	36876796	-	NIPBL-AS1
chr22	29977326	-	NIPSNAP1
chr9	107509968	+	NIPSNAP3A
chr9	107526450	+	NIPSNAP3B
chr3	52489523	+	NISCH
chr1	161087861	+	NIT1
chr3	100053561	+	NIT2
chr1	31712734	-	NKAIN1
chr6	124124990	+	NKAIN2
chr8	63161500	+	NKAIN3
chr20	61885892	-	NKAIN4
chrX	119077735	-	NKAP
chr6	28227074	+	NKAPL
chrX	119379122	-	NKAPP1
chr16	50582240	+	NKD1
chr5	1009076	+	NKD2
chr19	51875960	-	NKG7
chr3	23958537	-	NKIRAS1
chr17	40169593	+	NKIRAS2
chr19	45663408	-	NKPD1
chrX	118739846	-	NKRF
chr3	42642146	+	NKTR
chr4	1400230	-	NKX1-1
chr10	126138550	-	NKX1-2
chr14	36989430	-	NKX2-1
chr14	36988482	+	NKX2-1-AS1
chr20	21494664	-	NKX2-2
chr10	101292689	+	NKX2-3
chr20	21378047	-	NKX2-4
chr5	172662315	-	NKX2-5
chr8	23564111	-	NKX2-6
chr14	37051786	-	NKX2-8
chr8	23540450	-	NKX3-1
chr4	13546114	-	NKX3-2
chr4	85419387	-	NKX6-1
chr10	134599537	-	NKX6-2
chr8	41504878	-	NKX6-3
chr17	33469334	-	NLE1
chr3	173116237	+	NLGN1
chr3	173638586	-	NLGN1-AS1
chr17	7311501	+	NLGN2
chrX	70364680	+	NLGN3
chrX	6146923	-	NLGN4X
chrY	16634487	+	NLGN4Y
chrY	16915913	-	NLGN4Y-AS1
chr17	26369687	+	NLK
chr5	65018022	+	NLN
chr16	3627405	-	NLRC3
chr2	32490812	-	NLRC4
chr16	57050985	+	NLRC5
chr17	5487832	-	NLRP1
chr11	7985059	-	NLRP10
chr19	56348128	-	NLRP11
chr19	54327657	-	NLRP12
chr19	56443702	-	NLRP13
chr11	7041699	+	NLRP14
chr19	55476651	+	NLRP2
chr1	247579457	+	NLRP3
chr19	56347943	+	NLRP4
chr19	56511091	+	NLRP5
chr11	278569	+	NLRP6
chr19	55458873	-	NLRP7
chr19	56459197	+	NLRP8
chr19	56249768	-	NLRP9
chr11	119039042	+	NLRX1
chr15	85201802	-	NMB
chr6	142409936	-	NMBR
chr3	160939098	+	NMD3
chr17	49230919	+	NME1
chr17	49230896	+	NME1-NME2
chr17	49242795	+	NME2
chr16	1821710	-	NME3
chr16	446754	+	NME4
chr5	137475132	-	NME5
chr3	48342848	-	NME6
chr1	169337201	-	NME7
chr7	37888198	+	NME8
chr3	138048728	-	NME9
chr2	152146430	-	NMI
chr1	10002980	+	NMNAT1
chr1	183387634	-	NMNAT2
chr3	139396885	-	NMNAT3
chr16	4524896	-	NMRAL1
chr9	77703133	-	NMRK1
chr19	3933100	+	NMRK2
chr2	101086943	+	NMS
chr17	43138679	+	NMT1
chr10	15210695	-	NMT2
chr4	56502865	-	NMU
chr2	232395182	-	NMUR1
chr5	151784840	-	NMUR2
chr20	36149606	+	NNAT
chr11	114166534	+	NNMT
chr5	43602790	+	NNT
chr5	43603332	-	NNT-AS1
chr4	57843826	-	NOA1
chr16	69788871	-	NOB1
chr7	144107320	-	NOBOX
chr1	894679	-	NOC2L
chr10	96122683	-	NOC3L
chr12	132628992	+	NOC4L
chr7	30518393	-	NOD1
chr16	50731049	+	NOD2
chr10	72201465	-	NODAL
chr17	54671059	+	NOG
chr2	10830113	-	NOL10
chr17	65714060	+	NOL11
chr22	38082343	+	NOL12
chr16	67204399	+	NOL3
chr18	31803515	-	NOL4
chr20	31172875	-	NOL4L
chr9	33473941	-	NOL6
chr6	13615558	+	NOL7
chr9	95087876	-	NOL8
chr1	6614658	-	NOL9
chr10	103911932	+	NOLC1
chr7	156742416	+	NOM1
chr16	14927642	+	NOMO1
chr16	18573434	-	NOMO2
chr16	16326388	+	NOMO3
chrX	70503041	+	NONO
chr15	34635362	-	NOP10
chr4	2965233	-	NOP14
chr4	2937277	+	NOP14-AS1
chr5	175815763	-	NOP16
chr12	6677498	-	NOP2
chr20	2633177	+	NOP56
chr2	203130514	+	NOP58
chr14	24769059	+	NOP9
chr12	117799607	-	NOS1
chr1	162039580	+	NOS1AP
chr17	26127555	-	NOS2
chr7	150688143	+	NOS3
chr19	50083829	-	NOSIP
chr2	169643048	+	NOSTRIN
chr9	139440238	-	NOTCH1
chr1	120612317	-	NOTCH2
chr1	145209112	+	NOTCH2NL
chr19	15311792	-	NOTCH3
chr6	32191844	-	NOTCH4
chr2	73429385	+	NOTO
chr17	79919057	-	NOTUM
chr8	120428551	+	NOV
chr14	27066960	-	NOVA1
chr19	46476657	-	NOVA2
chrX	100129334	-	NOX1
chr6	155777037	-	NOX3
chr11	89322779	-	NOX4
chr15	69222838	+	NOX5
chr9	140317846	+	NOXA1
chr16	2031550	-	NOXO1
chr14	77889399	-	NOXRED1
chr15	24920540	+	NPAP1
chr19	47524142	+	NPAS1
chr2	101436612	+	NPAS2
chr14	33408458	+	NPAS3
chr11	66188474	+	NPAS4
chr11	108093365	-	NPAT
chr17	79860071	+	NPB
chr8	53852467	+	NPBWR1
chr20	62738184	-	NPBWR2
chr18	21166581	-	NPC1
chr7	44580914	-	NPC1L1
chr14	74960084	-	NPC2
chr9	139940676	-	NPDC1
chr20	57264186	+	NPEPL1
chr17	45608443	+	NPEPPS
chr12	53901422	-	NPFF
chr10	72043450	-	NPFFR1
chr4	72897520	+	NPFFR2
chr2	110962639	-	NPHP1
chr3	132441303	-	NPHP3
chr3	132441303	-	NPHP3-ACAD11
chr3	132441185	+	NPHP3-AS1
chr1	6052533	-	NPHP4
chr19	36342895	-	NPHS1
chr1	179545087	-	NPHS2
chr16	15031299	+	NPIPA1
chr16	14805545	+	NPIPA2
chr16	14805545	+	NPIPA3
chr16	15472151	-	NPIPA5
chr16	16473101	+	NPIPA7
chr16	16473101	+	NPIPA8
chr16	21436658	-	NPIPB3
chr16	22524843	+	NPIPB5
chr16	28374181	-	NPIPB6
chr16	28763755	+	NPIPB9
chr1	182758583	+	NPL
chr17	79604138	-	NPLOC4
chr5	170814707	+	NPM1
chr8	21881620	+	NPM2
chr10	103543170	-	NPM3
chr4	106816596	+	NPNT
chr1	11907840	-	NPPA
chr1	11900375	+	NPPA-AS1
chr1	11918992	-	NPPB
chr2	232791038	-	NPPC
chr1	153651163	+	NPR1
chr9	35792405	+	NPR2
chr5	32710742	+	NPR3
chr3	50388486	-	NPRL2
chr16	188697	-	NPRL3
chr10	129347612	+	NPS
chr7	34697850	+	NPSR1
chr7	34873943	-	NPSR1-AS1
chr15	73925753	-	NPTN
chr15	73861884	-	NPTN-IT1
chr17	78450404	-	NPTX1
chr7	98246596	+	NPTX2
chr22	39240017	-	NPTXR
chr7	25268105	-	NPVF
chr16	2069520	+	NPW
chr7	24323806	+	NPY
chr4	164253947	-	NPY1R
chr4	156129780	+	NPY2R
chr10	47083533	+	NPY4R
chr4	164265090	+	NPY5R
chr5	137136881	+	NPY6R
chr16	69760571	-	NQO1
chr6	3000049	+	NQO2
chrX	30327495	-	NR0B1
chr1	27240567	-	NR0B2
chr17	38256978	-	NR1D1
chr3	23986750	+	NR1D2
chr19	50879679	+	NR1H2
chr11	47269850	+	NR1H3
chr12	100867550	+	NR1H4
chr3	119499330	+	NR1I2
chr1	161208000	-	NR1I3
chr12	95467404	-	NR2C1
chr3	14989090	+	NR2C2
chr19	19314238	-	NR2C2AP
chr6	108487261	+	NR2E1
chr15	72102887	+	NR2E3
chr5	92919042	+	NR2F1
chr5	92917026	-	NR2F1-AS1
chr15	96869156	+	NR2F2
chr15	96870590	-	NR2F2-AS1
chr19	17356151	-	NR2F6
chr5	142815077	-	NR3C1
chr4	149363672	-	NR3C2
chr12	52416615	+	NR4A1
chr2	157189287	-	NR4A2
chr9	102584136	+	NR4A3
chr9	127269699	-	NR5A1
chr1	199996729	+	NR5A2
chr9	127533589	-	NR6A1
chr3	47053031	+	NRADDP
chr10	115423829	-	NRAP
chr9	140196703	-	NRARP
chr1	115259515	-	NRAS
chr10	64893006	+	NRBF2
chr2	27651472	+	NRBP1
chr8	144923146	-	NRBP2
chr7	108096841	-	NRCAM
chr1	52344609	-	NRD1
chr14	90798481	-	NRDE2
chr5	111312628	-	NREP
chr5	111248204	+	NREP-AS1
chr7	129251542	+	NRF1
chr8	31497267	+	NRG1
chr8	31883251	+	NRG1-IT1
chr8	32298261	+	NRG1-IT3
chr5	139422884	-	NRG2
chr10	83635069	+	NRG3
chr10	83992676	-	NRG3-AS1
chr15	76304785	-	NRG4
chr11	124609828	+	NRGN
chr21	16437126	-	NRIP1
chr12	2944221	-	NRIP2
chr11	9025596	-	NRIP3
chrX	105066535	+	NRK
chr14	24553832	-	NRL
chr6	30659197	-	NRM
chr6	6007838	-	NRN1
chr16	67918780	+	NRN1L
chr9	129172783	-	NRON
chr10	33623833	-	NRP1
chr2	206547223	+	NRP2
chr3	196366655	+	NRROS
chr6	24126413	+	NRSN1
chr20	327369	+	NRSN2
chr20	305896	-	NRSN2-AS1
chr19	5823817	+	NRTN
chr2	51259674	-	NRXN1
chr11	64490660	-	NRXN2
chr14	78636715	+	NRXN3
chr11	779453	+	NS3BP
chr5	74062815	+	NSA2
chr5	176560079	+	NSD1
chrX	151999510	+	NSDHL
chr17	44668034	+	NSF
chr20	1448337	-	NSFL1C
chr17	44450178	+	NSFP1
chr4	4387982	+	NSG1
chr1	212965139	-	NSL1
chr8	59572404	-	NSMAF
chr16	27280113	-	NSMCE1
chr8	126104082	+	NSMCE2
chr10	123734743	-	NSMCE4A
chr9	140353786	-	NSMF
chr17	28443824	+	NSRP1
chr5	6633473	-	NSUN2
chr3	93781854	+	NSUN3
chr1	46805848	+	NSUN4
chr7	72722864	-	NSUN5
chr7	75039604	+	NSUN5P1
chr7	72425302	-	NSUN5P2
chr10	18940566	-	NSUN6
chr4	40751913	+	NSUN7
chr17	73127890	-	NT5C
chr1	40137710	-	NT5C1A
chr2	18770846	-	NT5C1B
chr2	18770846	-	NT5C1B-RDH14
chr10	104953063	-	NT5C2
chr7	33102409	-	NT5C3A
chr17	39992523	-	NT5C3B
chr6	116421998	+	NT5DC1
chr3	52569093	-	NT5DC2
chr12	104234975	-	NT5DC3
chr6	86159301	+	NT5E
chr17	17206679	+	NT5M
chr16	15149936	-	NTAN1
chr12	5541279	+	NTF3
chr19	49567124	-	NTF4
chr16	2097867	-	NTHL1
chr11	131240370	+	NTM
chr11	132154195	+	NTM-IT
chr9	132371162	+	NTMT1
chr17	8924858	+	NTN1
chr16	2521499	+	NTN3
chr12	96184536	-	NTN4
chr19	49176264	-	NTN5
chr1	107682628	+	NTNG1
chr9	135037333	+	NTNG2
chr1	233086369	+	NTPCR
chr1	156785541	+	NTRK1
chr9	87283372	+	NTRK2
chr15	88799962	-	NTRK3
chr15	88795960	+	NTRK3-AS1
chr12	86268072	+	NTS
chr20	61340188	+	NTSR1
chr2	11810329	-	NTSR2
chr12	106533811	-	NUAK1
chr1	205290883	-	NUAK2
chr7	151038846	+	NUB1
chr16	10837642	+	NUBP1
chr16	1832923	+	NUBP2
chr14	32030590	+	NUBPL
chr19	49403306	+	NUCB1
chr19	49422148	-	NUCB1-AS1
chr11	17298285	+	NUCB2
chr1	205719372	-	NUCKS1
